Reference, Value, Footprint, Datasheet, Mouser Part Number
"TP3","TestPoint","c1cada11:M3-HOLE","~"
"TP4","TestPoint","c1cada11:M3-HOLE","~"
"TP5","TestPoint","c1cada11:M3-HOLE","~"
"TP6","TestPoint","c1cada11:M3-HOLE","~"
"J2","Conn_ARM_JTAG_SWD_10","c1cada11:FTSH10501","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf","200-FTSH10501LDVK"
"U1","ATSAMD21J18A-A","Package_QFP:TQFP-64_10x10mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/SAM_D21_DA1_Family_Data%20Sheet_DS40001882E.pdf","556-ATSAMD21J18A-AU"
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C10","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C5","1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
"U4","W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","454-W25Q128JVSIM"
"C11","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C12","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"Y1","CM7T1A 32.768kHz","c1cada11:CM7V-T1A","~","CM7V-T1A-32.768kHz-7pF-20PPM-TA-QC"
"C2","6.8pF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C689D1HACTU"
"C3","6.8pF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C689D1HACTU"
"R4","1k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08051K00FKEAC "
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
"D2","RED LED","LED_SMD:LED_0805_2012Metric","~","710-150080RS75000"
"R3","1k","Resistor_SMD:R_0805_2012Metric","~","71-CRCW08051K00FKEAC "
"U2","AP9101CK","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP9101C.pdf","621-AP9101CK-AHTRG1"
"J1","JSTBattCon","Connector_JST:JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",""
