Reference, Quantity, Value, Footprint, Datasheet, Mouser Part Number
C17 ,1,"100uF","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","~","581-TAJD107M016R "
C18 C32 ,2,"2.2uF","Capacitor_SMD:C_0805_2012Metric","~","791-0805X225M160CT"
C2 C3 ,2,"6.8pF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C689D1HACTU"
C21 C14 C13 C19 C15 C24 C34 C87 C88 C40 C61 C59 ,12,"10uF","Capacitor_SMD:C_0805_2012Metric","~","80-C0805C106K8P"
C26 ,1,"4.7nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207090"
C27 C29 ,2,"1nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012007088"
C5 C22 C23 C31 C35 C36 C28 C37 C49 C52 C41 C42 ,12,"1uF","Capacitor_SMD:C_0805_2012Metric","~","710-885012107015"
C51 C54 C39 C47 C48 ,5,"10nF","Capacitor_SMD:C_0805_2012Metric","~","710-885342207010"
C7 C8 C9 C10 C11 C12 C6 C4 C1 C20 C16 C25 C85 C86 C33 C30 C46 C50 C53 C38 C44 C43 C45 C57 C56 C55 C58 C72 C71 C70 C73 C77 C76 C75 C78 C80 C81 C79 C82 C62 C60 C63 C74 C67 C66 C65 C68 C69 C64 C83 C84 ,51,"100nF","Capacitor_SMD:C_0805_2012Metric","~","710-885012207128"
D1 ,1,"4DLCD-24320240-IPS","Connector_FFC-FPC:Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal","","798-FH12-40S-0.5SH55 "
D2 D4 ,2,"RED LED","LED_SMD:LED_0805_2012Metric","~","710-150080RS75000"
D3 ,1,"GREEN LED","LED_SMD:LED_0805_2012Metric","~","710-150080VS75000"
D5 D6 ,2,"BLUE LED","LED_SMD:LED_0805_2012Metric","~","710-150080BS75000"
J1 ,1,"JSTBattCon","Connector_JST:JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",""
J2 ,1,"Conn_ARM_JTAG_SWD_10","c1cada11:FTSH10501","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf","200-FTSH10501LDVK"
J4 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","538-47346-0001"
J5 J3 ,2,"Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J6 ,1,"Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","http://katalog.we-online.de/em/datasheet/693072010801.pdf","798-DM3AT-SF-PEJM5"
J7 ,1,"CUI3524","Connector_Audio:Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal","","490-SJ-3524-SMT-TR"
L1 L2 ,2,"22uH","c1cada11:TYS4030220M-10","~","875-TYS4030220M-10"
LS1 LS2 ,2,"CDM-20008","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","490-CDM-20008 "
Q1 ,1,"PMDPB30XN","c1cada11:PMDPB30XN","","771-PMDPB30XNZ"
